HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlyVisibility,HourlyWindGustSpeed,HourlyWindSpeed,time,HourlyWeatherType,HourlySkyCondit,wind_dir_sin,wind_dir_cos,wind_dir_vrb,airport,date
25.0,34.0,0.0,70.0,30.15,10.0,0.0,10.0,0,clear,cloudy,-1.0,-1.8369701987210297e-16,0,SDF,2024-01-01
25.0,34.0,0.0,70.0,30.15,9.94,0.0,10.0,100,clear,other,-1.0,-1.8369701987210297e-16,0,SDF,2024-01-01
25.0,34.0,0.0,70.0,30.16,10.0,0.0,11.0,100,clear,cloudy,-0.9396926207859083,0.342020143325669,0,SDF,2024-01-01
25.0,34.0,0.0,70.0,30.16,10.0,0.0,9.0,200,clear,cloudy,-1.0,-1.8369701987210297e-16,0,SDF,2024-01-01
27.0,34.0,0.0,75.0,30.16,10.0,0.0,8.0,200,clear,cloudy,-1.0,-1.8369701987210297e-16,0,SDF,2024-01-01
26.0,34.0,0.0,73.0,30.17,10.0,0.0,9.0,200,clear,cloudy,-1.0,-1.8369701987210297e-16,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.17,10.0,0.0,9.0,300,clear,cloudy,-1.0,-1.8369701987210297e-16,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.17,9.94,0.0,9.0,400,clear,other,-1.0,-1.8369701987210297e-16,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.17,10.0,0.0,10.0,400,clear,cloudy,-1.0,-1.8369701987210297e-16,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.17,10.0,0.0,8.0,400,snow,cloudy,-0.9848077530122081,0.17364817766692997,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.18,9.0,0.0,9.0,400,snow,cloudy,-0.9848077530122081,0.17364817766692997,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.19,9.0,0.0,7.0,500,snow,cloudy,-0.9396926207859083,0.342020143325669,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.21,9.0,0.0,8.0,600,snow,cloudy,-0.8660254037844386,0.5000000000000001,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.21,8.7,0.0,8.0,700,clear,other,-0.8660254037844386,0.5000000000000001,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.21,9.0,0.0,10.0,700,clear,cloudy,-0.7660444431189781,0.6427876096865393,0,SDF,2024-01-01
27.0,36.0,0.0,70.0,30.21,10.0,0.0,9.0,700,clear,cloudy,-0.6427876096865396,0.7660444431189778,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.23,10.0,0.0,9.0,700,clear,cloudy,-0.6427876096865396,0.7660444431189778,0,SDF,2024-01-01
27.0,35.0,0.0,72.0,30.23,10.0,0.0,8.0,700,clear,cloudy,-0.7660444431189781,0.6427876096865393,0,SDF,2024-01-01
